id,name,url,regular_price,promo_price,brand
552093,"Вино Pfaffl Vom Haus Gruner Veltliner белое полусухое, 0.75л",/products/beloe-polusuhoe-pfaffl-gruner-075-l,1059,847.2,PFAFFL
538316,"Вино Mucho Mas красное сухое, 0.75л",/products/mucho-mas-krasnoe-suhoe-075-l-58876,999,899,MUCHO MAS
625087,"Вино Chateau Mukhrani Grappe Noire красное сухое, 0.75л",/products/075-l-shato-muhrani-grapp-nuar-kr-sh,1899,1599,CHATEAU MUKHRANI
401577,"Вино Marius by M. Chapoutier Vermentino белое сухое, 0.75л",/products/m-chapoutier-marius-beloe-suhoe-075-l-557444,799,639.2,MARIUS BY M. CHAPOUTIER
402578,"Вино Frontera Moscato белое сладкое, 0.75л",/products/frontera-muskatnoe-beloe-sladkoe-075-l-557631,669,535.2,FRONTERA
393441,"Вино Fanagoria Cru Lermont Мерло красное сухое, 0.75л",/products/fanagoria-cru-lermont-merlot-2012-krasnoe-suhoe-075-l-550062,719,719,FANAGORIA
393732,"Вино Vicente Gandia El Pescaito Bobal-Cabernet Sauvignon красное сухое, 0.75л",/products/vicente-gandia-el-pescaito-bobal-cabernet-sauvignon-krasnoe-suhoe-075-l-550493,749,749,EL PESCAITO
5228268,"Вино Prototype Cabernet Sauvignon California Raymond красное сухое, 0.75л",/products/prototype-cabernet-sauvignon-california-raymond-suhoe-075-l,1499,1199,PROTOTYPE
215884,"Вино Torres Vina Sol Catalunya белое сухое, 0.75л",/products/vinya-sol-kataloniya-075-l,1499,1199,TORRES
442322,"Вино Vina Real Casal Garcia Branco Vinho Verde белое полусухое, 0.75л",/products/vino-vina-real-casal-garcia-branco-vinho-verde-beloe-polusukhoe-0-75l,1199,959.2,VINA REAL
595643105,"Вино Domaine Denis Race Chablis белое сухое, 0.75л",/products/075l-vino-shabli-deni-ras-bl-sh-223939,2999,2399.2,DOMAINE DENIS RACE
570816,"Напиток винный Nar Bagi Гранат красное полусладкое, 0.75л",/products/art_81763,889,699,NAR BAGI
567701,"Вино Heimberger Riesling белое полусухое, 0.75л",/products/heimberger-riesling-beloe-suhoe-075-l,999,799.2,HEIMBERGER
492147,"Вино Catena Zapata Chardonnay белое сухое, 0.75л",/products/catena-chardonnay-beloe-suhoe-075-l,2999,2399,CATENA ZAPATA
595563946,"Вино Misty Cliff Sauvignon Blanc белое полусухое, 0.75л",/products/075l-vino-misti-kliff-sov-bl-bl-psh-223609,1499,1199,MISTY CLIFF
217048,"Вино Peppoli Chianti Classico красное сухое, 0.75л",/products/peppoli-kyanti-klassiko-dokg-075-l,3199,3199,PEPPOLI
517373,"Вино Cavanza Cabernet Sauvignon красное сухое, 0.75л",/products/cavanza-kaberne-krasnoe-suhoe-075-l,599,599,CAVANZA
208191,"Вино Marques De Riscal Proximo красное сухое, 0.75л",/products/vino-proximo-2008-krasnoe-suhoe-075-l,1449,1099,MARQUES DE RISCAL
375628,"Вино Chateau Tamagne Saperavi красное сухое, 0.75л",/products/saperavi-krasnoe-suhoe-shato-taman-075-l,499,499,CHATEAU TAMAGNE
418491,"Вино игристое Аристов розовое брют, 0.75л",/products/rozovoe-bryut-aristov-075-l,,439,АРИСТОВ
185291,"Вино Speri Valpolicella красное сухое, 0.75л",/products/speri-valpolich-krasnoe-suhoe-075-l,1599,1599,SPERI
